"from","to","weight"
"Category:Statistics-related lists","Category:Survival analysis",70
"Category:Operations research","Category:Analysis of variance",57
"Category:History of statistics","Category:Epidemiology",14
"Category:Analysis of variance","Category:Statistical models",183
"Category:Loss functions","Category:Statistical laws",1
"Category:Analysis of variance","Category:Statistical mechanics",3
"Category:Data collection","Category:Non-parametric Bayesian methods",4
"Category:Bioinformatics","Category:Statistical dependence",25
"Category:Categorical data","Category:Econometric models",4
"Category:Poisson processes","Category:Random matrices",28
"Category:Statistical algorithms","Category:Statistical mechanics",3
"Category:Asymptotic statistical theory","Category:Probability distributions with non-finite variance",3
"Category:Climate and weather statistics","Category:Probability distributions",2
"Category:Logic and statistics","Category:Econometrics",66
"Category:Sensitivity analysis","Category:Economic data",1
"Category:Statistical terminology","Category:Monte Carlo methods",36
"Category:Statistical approximations","Category:Analysis of variance",23
"Category:Probability","Category:Environmental statistics",1
"Category:Statistical randomness","Category:Statistical methods",19
"Category:Loss functions","Category:Nonparametric regression",1
"Category:Probability distributions","Category:Classification algorithms",8
"Category:Loss functions","Category:Distributions with conjugate priors",2
"Category:Conjugate prior distributions","Category:Statistical data sets",1
"Category:Statistical algorithms","Category:Bayesian networks",5
"Category:Sampling (statistics)","Category:Statistics-related lists",18
"Category:Time series analysis","Category:Sampling (statistics)",132
"Category:Biostatistics","Category:Survey methodology",28
"Category:Statistical mechanics","Category:Climate and weather statistics",1
"Category:Probability","Category:Statistical ratios",14
"Category:Statistical forecasting","Category:Comparison of assessments",2
"Category:Medical statistics","Category:Statistical tests",178
"Category:Statistical models","Category:Categorical data",157
"Category:Probability","Category:Multivariate continuous distributions",1
"Category:Data mining","Category:Design of experiments",43
"Category:Statistical intervals","Category:Survival analysis",24
"Category:Statistics articles needing expert attention","Category:Variance reduction",7
"Category:Statistical inequalities","Category:Geostatistics",1
"Category:Non-parametric statistics","Category:Medical statistics",61
"Category:Actuarial science","Category:Poisson processes",30
"Category:Non-parametric statistics","Category:Estimation of densities",53
"Category:Regression analysis","Category:Martingale theory",1
"Category:Optimal decisions","Category:Means",14
"Category:Non-parametric statistics","Category:Probability",2
"Category:Bayesian networks","Category:Probability interpretations",2
"Category:Nonparametric regression","Category:Scale statistics",4
"Category:Demography","Category:Statistical methods",38
"Category:Parametric statistics","Category:Non-parametric Bayesian methods",7
"Category:Statistical approximations","Category:Model selection",7
"Category:Conjugate prior distributions","Category:Parametric statistics",16
"Category:Quality control","Category:Statistics stubs",36
"Category:Computational statistics","Category:Summary statistics for contingency tables",2
"Category:Detection theory","Category:Survival analysis",8
"Category:Statistical inference","Category:Environmental statistics",14
"Category:Bayesian statistics","Category:Characterization of probability distributions",1
"Category:Psychometrics","Category:Statistical intervals",18
"Category:Validity (statistics)","Category:Statistical laws",1
"Category:Statistical classification","Category:Pharmaceutical statistics",4
"Category:F-divergences","Category:Econometrics",2
"Category:Dimension reduction","Category:Categorical data",10
"Category:Decision theory","Category:Tails of probability distributions",1
"Category:Exponential family distributions","Category:Statistical outliers",1
"Category:Evidence-based medicine","Category:Misuse of statistics",3
"Category:Statistical principles","Category:Logic and statistics",13
"Category:Estimation theory","Category:Multiple comparisons",2
"Category:Statistical inference","Category:Parametric statistics",121
"Category:Model selection","Category:Resampling (statistics)",5
"Category:Evidence-based medicine","Category:Bayesian inference",5
"Category:Estimation theory","Category:Decision theory",37
"Category:Population ecology","Category:Estimation theory",2
"Category:Data collection","Category:Non-parametric statistics",80
"Category:Meta-analysis","Category:Exponential family distributions",3
"Category:Multivariate statistics","Category:Estimation theory",170
"Category:Comparison of assessments","Category:Data analysis",16
"Category:Statistical terminology","Category:Probability theory",269
"Category:Statistical distance measures","Category:Statistical charts and diagrams",20
"Category:Asymptotic statistical theory","Category:Signal processing",8
"Category:Laymen and statistics","Category:Survey methodology",4
"Category:Generalized linear models","Category:Logic and statistics",12
"Category:Survey methodology","Category:Statistical intervals",16
"Category:Monte Carlo methods","Category:Probability distributions",31
"Category:Least squares","Category:Summary statistics",27
"Category:Statistical methods","Category:Medical statistics",50
"Category:Statistics-related lists","Category:Ethics and statistics",11
"Category:Directional statistics","Category:Estimation theory",4
"Category:Time series analysis","Category:Statistical tests",442
"Category:Signal processing","Category:Statistical data sets",1
"Category:Categorical data","Category:Regression analysis",470
"Category:Covariance and correlation","Category:Point estimation performance",15
"Category:Engineering statistics","Category:Categorical data",73
