"category","expertneeded","length","name","stub"
"Category:Fields of application of statistics",False,3204,"Natural fertility",False
"Category:Statistical data sets",False,12997,"Demographic and Health Surveys",False
"Category:Stochastic processes",False,3414,"Burke's theorem",False
"Category:Fields of application of statistics",False,2085,"Gilded Generation (Strauss–Howe theory)",False
"Category:Information, knowledge, and uncertainty",False,1816,"Bielard, Biehl and Kaiser five-way model",False
"Category:Fields of application of statistics",False,3066,"Risk–benefit ratio",False
"Category:Decision theory",False,6223,"Group attribution error",False
"Category:Stochastic processes",False,2861,"Reversible dynamics",True
"Category:Statistical data sets",False,3216,"Nicaraguan diaspora",False
"Category:Statistics stubs",False,3530,"Gilean McVean",False
"Category:Statistical data sets",False,8792,"Demographics of Lesotho",False
"Category:Decision theory",False,1812,"Evolutionarily stable state",False
"Category:Stochastic processes",False,5723,"Law of the iterated logarithm",False
"Category:Data collection",False,1587,"Economist Corporate Network",False
"Category:Statistical inference",False,7663,"Probabilistic causation",False
"Category:Fields of application of statistics",False,4940,"International Association of Black Actuaries",False
"Category:Data collection",False,16303,"2005 CIA interrogation tapes destruction",False
"Category:Fields of application of statistics",False,3691,"Floating population",False
"Category:Information, knowledge, and uncertainty",False,3523,"Dummy corporation",False
"Category:Fields of application of statistics",False,9328,"Thomas Francis, Jr.",False
"Category:Statistical organizations",False,2639,"Institute of Statistics (Albania)",False
"Category:Statistical data sets",False,4363,"Survey on Household Income and Wealth",False
"Category:Statistical theory",False,1106,"Dyadic distribution",False
"Category:Fields of application of statistics",False,6386,"Keltner list",False
"Category:Statistical data coding",False,41,"ISO 3166-1:HU",False
"Category:Information, knowledge, and uncertainty",False,10853,"Safety Integrity Level",False
"Category:Decision theory",False,38241,"Negativity bias",False
"Category:Survey methodology",False,4712,"QuestionPro.com",False
"Category:Misuse of statistics",False,28075,"Correlation does not imply causation",False
"Category:Decision theory",False,2798,"Agent counterplan",False
"Category:Spatial data analysis",False,2185,"Geographical cluster",False
"Category:Stochastic processes",False,13083,"Hurst exponent",False
"Category:Fields of application of statistics",False,2993,"Information Hyperlinked over Proteins",False
"Category:Fields of application of statistics",False,2657,"Academic standards",False
"Category:Information, knowledge, and uncertainty",False,3655,"Chartered Institute of Internal Auditors",False
"Category:Fields of application of statistics",False,1312,"Lucy–Hook coaddition method",False
"Category:Design of experiments",False,2640,"Design effect",False
"Category:Fields of application of statistics",False,19066,"Epidemic model",False
"Category:Statistics stubs",False,4646,"Stanisław Trybuła",False
"Category:Fields of application of statistics",False,35869,"Major League Soccer attendance",False
"Category:Fields of application of statistics",False,24695,"Picture archiving and communication system",False
"Category:Statistical theory",False,7074,"Tsallis entropy",False
"Category:Information, knowledge, and uncertainty",False,20241,"Selling out",False
"Category:Statistical tests",False,3369,"Hartley's test",False
"Category:Fields of application of statistics",False,567,"Negacyclic convolution",False
"Category:Statistical theory",False,9757,"Traffic classification",False
"Category:Fields of application of statistics",False,1037,"Volume testing",False
"Category:Fields of application of statistics",False,37220,"Lenses for SLR and DSLR cameras",False
"Category:Fields of application of statistics",False,2235,"Framework for integrated test",False
"Category:Fields of application of statistics",False,3349,"Weighting curve",False
"Category:Decision theory",False,9198,"German Institute of Global and Area Studies",False
"Category:Fields of application of statistics",False,4808,"Bank rate",False
"Category:Statistical theory",False,1837,"Bitstream format",False
"Category:Data collection",False,2478,"Uncertainty Parameter U",False
"Category:Fields of application of statistics",False,68968,"Whole genome sequencing",False
"Category:Probability distributions",False,616,"Probability distribution function",False
"Category:Fields of application of statistics",False,4667,"Cardiovascular technologist",False
"Category:Logic and statistics",False,34591,"Statistical inference",False
"Category:Fields of application of statistics",False,1852,"Hildrus Poindexter",False
"Category:Probability distributions",False,5577,"Variance-gamma distribution",False
"Category:Covariance and correlation",False,17955,"Correlation function (statistical mechanics)",False
