,expertneeded,name,stub,length
0,False,Leftover hash lemma,False,4237
1,False,Moment-generating function,False,12062
2,False,Burke's theorem,False,3414
3,False,Generalized randomized block design,False,6494
4,False,CP decomposition,False,5649
5,False,Reification (statistics),True,774
6,False,Risk–benefit ratio,False,3066
7,False,Curve fitting,False,14277
8,False,Reversible dynamics,True,2861
9,False,Bessel's correction,False,18546
10,False,Generalized estimating equation,False,6892
11,False,Prosecutor's fallacy,False,20623
12,False,Wiener filter,False,12981
13,False,Consumption distribution,False,606
14,False,Local independence,False,3068
15,False,Law of the iterated logarithm,False,5723
16,False,Dendrogram,True,1876
17,False,Stationary subspace analysis,False,4041
18,False,Multiple baseline design,False,6934
19,False,Predictive inference,False,1567
20,False,Strong Law of Small Numbers,False,2407
21,False,Hodges–Lehmann estimator,False,8698
22,False,Heavy-tailed distribution,False,11760
23,False,Simultaneous equations model,False,14020
24,False,Layered hidden Markov model,False,4551
25,False,Dyadic distribution,False,1106
26,False,Multivariate Pareto distribution,False,7108
27,True,Explained sum of squares,False,8668
28,False,Regression diagnostic,True,2791
29,False,Index of coincidence,False,14923
30,False,Correlation does not imply causation,False,28075
31,False,Credal set,False,1992
32,False,Belt transect,False,2966
33,False,Stochastic process,False,19025
34,False,Realization (probability),False,2234
35,False,Detection theory,False,14703
36,False,Cox's theorem,False,10804
37,False,Design effect,False,2640
38,False,Watterson estimator,False,2294
39,False,Factorial moment,False,5470
40,False,Pareto principle,False,17488
41,False,Geospatial predictive modeling,False,4132
42,False,Radar chart,False,10847
43,False,Welch's method,False,3139
44,False,D'Agostino's K-squared test,False,8880
45,False,Hartley's test,False,3369
46,False,Ogden tables,False,5648
47,False,Iteratively reweighted least squares,False,5661
48,False,Comparison of statistical packages,False,52337
49,False,Probit model,False,11869
50,True,Complete-linkage clustering,False,5811
51,False,GAUSS (software),False,4532
52,False,Systematic error,False,8141
53,False,Continuity correction,False,2512
54,False,Probabilistic classification,False,5062
55,False,Statistical relational learning,False,4852
56,False,Probability distribution function,False,616
57,False,Statistical inference,False,34591
58,False,Probability matching,True,1789
59,False,Pocock boundary,False,3776
60,False,Template:Statistics topics sidebar,False,646
61,False,Variance-gamma distribution,False,5577
62,False,Trispectrum,False,1959
63,False,False positive paradox,False,10304
64,False,Pearson distribution,False,22726
65,False,Conservatism (belief revision),False,3883
66,False,MinHash,False,17804
67,True,Higher-order statistics,True,1934
68,False,Twisting properties,False,8484
69,False,Mann–Whitney U test,False,31683
70,False,Survey methodology,False,16737
71,False,Maximum entropy spectral estimation,False,3093
72,False,Inherent zero,False,499
73,False,Mark and recapture,False,16853
74,False,T-statistic,False,5988
75,False,Population model,False,6037
76,False,Regression toward the mean,False,36231
77,False,Root mean square,False,15099
78,False,Sørensen–Dice coefficient,False,8227
79,False,Point estimation,False,4514
80,False,Upper and lower probabilities,False,3170
81,False,Aggregate data,True,1321
82,False,Concordance correlation coefficient,False,5781
83,False,Factor graph,False,6920
84,False,Geometric standard deviation,False,3297
85,False,Partial regression plot,False,4912
86,False,Likelihood ratios in diagnostic testing,False,8142
87,False,Rubin causal model,False,29834
88,False,Whipple's index,False,4868
89,False,Master equation,False,9028
90,False,Failure rate,False,16592
91,False,Reliability block diagram,False,3363
92,False,Limited dependent variable,True,2451
93,False,Recursive partitioning,False,5330
94,False,Hoeffding's independence test,True,2061
95,False,Inverse distribution,False,5909
96,False,Generalized chi-squared distribution,False,8522
97,False,Geostatistics,False,14835
98,False,Hierarchical clustering,False,15872
99,False,Bayesian average,True,3757
100,True,Gaussian process emulator,True,3001
101,False,Cross-sectional study,False,9368
102,False,Order of a kernel,True,234
103,False,Absorbing Markov chain,False,8090
104,False,Ziggurat algorithm,False,16819
105,False,Medoid,False,2258
106,False,Credible interval,False,5060
107,False,Plot (graphics),False,18274
108,False,Subgroup analysis,False,639
109,False,Mode (statistics),False,21357
110,False,Yamartino method,False,4868
111,False,Bartlett's theorem,False,1060
112,False,Quadratic form (statistics),False,5472
113,False,Weight function,False,6673
114,False,Occupancy frequency distribution,False,16209
115,False,Natural experiment,False,12383
116,False,Box–Jenkins,False,10733
117,False,Elliptical distribution,False,5332
118,False,Beta distribution,False,236401
119,False,Exchangeable random variables,False,15690
120,False,Data generating process,False,885
121,False,Wald test,False,7285
122,False,Matthews correlation coefficient,False,7725
123,False,Noncentral chi distribution,False,5806
124,False,Analytic and enumerative statistical studies,True,2994
125,False,Univariate analysis,False,3659
126,False,Dunnett's test,False,13591
127,False,Coefficient of variation,False,14261
128,True,Davies–Bouldin index,False,5285
129,False,Data reduction,False,2695
130,False,Wrapped Lévy distribution,False,2405
131,False,State-space representation,False,25580
132,False,Methods engineering,False,4642
133,False,System identification,False,8296
134,False,Cox–Ingersoll–Ross model,False,6961
